Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
fin,FL,B2,,Показывается*@*  как  ругает  Наташу  Людмила  Павловна*@*  как  она  требует  от  Наташи  все  лучше  и  лучше  результаты*@*  не  дает  ей  отдохнуть*@*  делает  и  говорит  все  возможное ( и  не  всегда  это  приятные  слова)*@*  {{пока }} она  не  видит  в  исполнении  Наташи  то*@*  что  надо.,пока,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,HL,Other,,Работает  он  каждый  будний  день*@*  со  своей  невысокой  зарплатой*@*  и  по  выходным  веселится  в  центре  города  со  своими  рабочими  коллегами*@*  {{пока }} не  возвращается  один  домой*@*  в  свою  однокомнатную  квартиру.,пока,время,гп,мест,null,и,null,3ед,мест null,null
fin,FL,AM,,В  лечебнице  он  жил  всего  два  года*@*  {{пока }} не  он  умер.,пока,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,AM,,{{Пока }} не  учил  уроки  он  прочитал  газету.,пока,время,пг,null,мест,null,и,3ед,null мест,null
fin,FL,AM,,В  субботу  и  воскресенье  я  например  встречаюсь  с  друзьями*@*  готовлю  вкусного  ужин*@*  еду  в  город*@*  где  я  жила  {{пока }} не  переехала  в  Хельсинки*@*  и  просто  отдыхаю.,пока,время,гп,мест,null,и,null,3ед,мест null,null
kaz,HL,IH,,И  {{пока }} человек  не  научиться  использовать  все  эти  вещи  правильно*@*  он  не  будет  развиваться*@*  а  скорее  всего  наоборот  будет  деградировать.,пока,время,пг,сущ,мест,и,и,3ед,сущ мест,other
swe,FL,IH,,Я  бы  сказал  что  я  сегодня  удачливый  человек*@*  но  никто  не  может  знать*@*  {{пока }} не  умрет.,пока,время,гп,сущ,null,и,null,3ед,сущ null,null
swe,FL,IH,,Леня  стучат  с  ножницами  и  бормочет  себе  под  нос*@*  {{пока }} он  с  легкими  движениями  поднимает  и  наклоняет  мою  голову*@*  так  он  вертеться  с  любой  машиной*@*  взъерошивает  прическу*@*  снимает  с  меня  покрывало  и  наконец  говорит: -  Вы  можете  смотреть!,пока,время,гп,сущ,мест,и,и,3ед,сущ мест,other
chi,FL,C2,,Он  поклялся  в  том*@*  что  не  вернёться  {{пока }} он  не  реализирует  свою  мечту.,пока,время,гп,null,мест,null,и,3ед,null мест,null
eng,FL,IH,2012-2013,В начале*@* ей не хочется*@* но {{{{после}}}} {{того}}*@* {{как}} она начала любит его*@* актриса пересматривает свою путь в жизни.,после того как,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AM,2012-2013,{{{{После}}}} {{того}}*@* {{как}} нацисты напали на Советский Союз*@* они сразу подошли к Ленинграду.,после того как,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IM,2010-2011,В 1974 он жил в Нью- Юрке {{{{после}}}} {{того}}*@* {{как}} он был выслан из Советского Союза.,после того как,время,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,IH,2012-2013,{{{{После}}}} {{того}}*@* {{как}} автор организует идеи в абзацах в более логичном порядке*@* он должен убрать из текста те предложения*@* которые не относятся прямо к теме языке игры.,после того как,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,IH,2010,{{{{После}}}} {{того}}*@* {{как}} он вернулся с службы*@* Гришковец непременно вернулся к учебе.,после того как,время,пг,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2010-2011,Изменения вносятся в словари*@* {{{{после}}}} {{того}}*@* {{как}} эти изменения становятся использованными многими образованными людьми.,после того как,время,гп,сущ,сущ,и,и,3мн,сущ сущ,other
eng,FL,IM,2010-2011,{{{{После}}}} {{того}} {{как}} он сохранял его брат*@* он пытается сохранить Свету*@* но она чувствует сострадание оскорбительному мужу.,после того как,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,2010-2011,Briefly describe this scene and explain why the scene is critical for the film s depiction of its main character Danilа) and his goals and interests. Данила возвращается к Свету*@* {{{{после}}}} {{того}} {{как}} он спас своего брата*@* и Данила находит она с мужом*@* который бьет ее.,после того как,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2010-2011,Как понимают лингвисты*@* что сейчас такое время*@* чтобы в каком-то слове сделать двойное ударение*@* а потом они поймут что это только так? Изменения вносятся в словари*@* {{{{после}}}} {{того}}*@* {{как}} эти изменения становятся использованными многими образованными людьми.,после того как,время,гп,сущ,сущ,и,и,3мн,сущ сущ,other
eng,FL,IM,2010-2011,{{{{После}}}} {{того}} {{как}} он спас своего брата*@* он выглядит мощным.,после того как,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,2010-2011,Корнелиус Дюпри*@* который был осуждён за ограбление и изнасилование и приговорён к 75 годам тюремного заключения*@* был освобожден*@* {{{{после}}}} {{того}} {{как}} он отбыл в тюрьме 30 лет.,после того как,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,AL,2011-2012,Он говорит это {{{{после}}}} {{того}}*@* {{как}} он дает положительный пример сегрегации.,после того как,время,гп,мест,мест,и,и,3ед,мест мест,other
ger,FL,B1,,{{{{После }}}} {{того }} {{как }} Алексей  наигрался  в  кубики*@*  он  снова  крепко  уснул.,после того как,время,пг,мест,сущ,и,и,3ед,мест сущ,other
ger,FL,B2,,Она  приняла  мученическую  смерть  {{{{после }}}} {{того*@* }} {{как }} отказалась  поклоняться  языческим  богам.,после того как,время,гп,мест,null,и,null,3ед,мест null,null
fin,FL,B2,,Каждый  раз  {{{{после }}}} {{того*@* }} {{как }} Батюшка  Гермоген  заканчивал  готовить  какую-то  блюду*@*  он  говорил*@*  чуть  не  теми  же  самыми  словами « И  вот  наше ...  готово!»,после того как,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,{{{{После }}}} {{того*@* }} {{как }} человек  начал  понимать  другого*@*  он  умеет  решать  проблему « что  делать»  по  каждой  ситuации.,после того как,время,пг,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IL,,{{{{После }}}} {{того*@* }} {{как }} эти  солдаты  привыкли  к  жизни  в  армии*@*  они  медленно  замечают  чрезвычайную  разность  между  ними.,после того как,время,пг,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IH,,Таким  образом  один  студент  умер  в  течение  своей  интернатуры  в  большом  банке*@*  {{{{после }}}} {{того*@* }} {{как }} он  не  спал  на  некоторые  дней.,после того как,время,гп,сущ,мест,и,и,3ед,сущ мест,other
jap,FL,AL,,Более  того*@*  {{{{после }}}} {{того*@* }} {{как }} они  посмотрят  эту  программу*@*  они  могут  замечать  что  лучше  оставить  что-то  старое.,после того как,время,пг,мест,мест,и,и,3мн,мест мест,other
eng,HL,AL,2009-2010,Кроме того*@* Гельман добавил*@* что чиновник имеет право быть невежественным*@* но хороший чиновник никогда ничего не говорит*@* не посоветовавшись с экспертами» website В действительности*@* Соколов не советовался с экспертами- галлеристами {{{{перед}}}} {{тем}}*@* {{как}} он решил отнять право передвижения Синих Носов».,перед тем как,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2009-2010,По действительности*@* Соколов не советовался с экспертами- галлеристами {{{{перед}}}} {{тем}}*@* {{как}} он решил отнять право передвижения «Синих Носов».,перед тем как,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IH,2011-2012,Очень часто местные правительства дают льготы предприятиями*@* которые могут очищать воду на месте*@* {{{{перед}}}} {{тем}} {{как}} они сливают ее обратно в канализацию.,перед тем как,время,гп,д_мест,мест,и,и,3мн,д_мест мест,other
eng,HL,AL,2009-2010,По настоящему*@* Соколов не советовался с экспертами- галеристами {{{{перед}}}} {{тем}}*@* {{как}} он решил отнять право передвижения «Синих Носов».,перед тем как,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2009-2010,В действительности*@* Соколов не советовался с экспертами- галлеристами {{{{перед}}}} {{тем}}*@* {{как}} он решил отнять право передвижения «Синих Носов».,перед тем как,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2009-2010,По настоящему*@* Соколов не советовался с экспертами- галеристами {{{{перед}}}} {{тем}}*@* {{как}} он решил отнять право передвижения Синих Носов».,перед тем как,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2009-2010,Кроме того*@* Гельман добавил*@* что чиновник имеет право быть невежественным*@* но хороший чиновник никогда ничего не говорит*@* не посоветовавшись с экспертами» website В действительности*@* Соколов не советовался с экспертами- галлеристами {{{{перед}}}} {{тем}}*@* {{как}} он решил отнять право передвижения Синих Носов».,перед тем как,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IH,2011,Тем времени*@* новый петербургский омбудсмен сказал*@* что запрешение гей- пропаганды странным»*@* но хочет подождать до того*@* как результаты закона ясные*@* {{{{перед}}}} {{тем}}*@* {{как}} он пересмотрит закон.,перед тем как,время,г_п,null,мест,null,и,3ед,null мест,null
eng,FL,IH,2011-2012,Очень часто местные правительства дают льготы предприятиями*@* которые могут очищать воду на месте*@* {{{{перед}}}} {{тем}} {{как}} они сливают ее обратно в канализацию.,перед тем как,время,гп,д_мест,мест,и,и,3мн,д_мест мест,other
eng,FL,IM,2010-2011,{{Когда}} Дадли было шестнадцать*@* он стал диабетом*@* тип один.,когда,время,пг,мест,мест,и,д,3мн,мест мест,other
eng,FL,IM,2010-2011,{{Когда}} он вступил в НБА*@* он был первым исвестным диабетическим баскетболистом.,когда,время,пг,мест,мест,и,и,3мн,мест мест,other
eng,HL,IM,2008-2009,При этом молодой человек вспоминает {{когда}} он впкрвых увидел донна Орэуля.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2012,В Америке*@* журналисты всегда предупреждают {{когда}} показывают*@* что то весьма трагическое.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
eng,FL,AL,2011,Он пишет*@* что {{когда}} родители наконец имели право на выбор языка обучения*@* они чаще всего решили*@* чтобы их дети обучались на русском языке.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,HL,IH,2009-2010,Как отреагировал Ганди на предложение одного из чиновников арестовать тех*@* кто напал на Ганди и избил его? {{Когда}} Ганди вышел на берег с парохода после противостояния*@* которое длилось 23 дня*@* он был окружён и избит белым населением.,когда,время,п_г,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,AL,2012-2013,{{Когда}} государство заботится о своих гражданах*@* оно должно обратить внимание на общественное мнение.,когда,время,пг,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2010-2011,Так же в тексте обсуждается что*@* человек успешен {{когда}} он успевает достигнуть свою цель»*@* и эта цель» заменяет понятие успех.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IH,2009-2010,{{Когда}} она была в России*@* Мэрион влюбилась в русского человека.,когда,время,пг,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IH,2012-2013,Облака состоят из капель*@* и {{когда}} капли становятся больше и больше до того*@* что они больше не могут удерживаться в облаке*@* они выпадают в виде осадков.,когда,время,п_г,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IM,2009-2010,Разделение групп необходимо*@* потому что группы сами разделялись*@* {{когда}} уехали.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
eng,HL,IH,2012-2013,{{Когда}} люди получают хорошее образование*@* они могут получить хорошую работу и внести свой вклад в экономику.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,HL,IM,2008,{{Когда}} старик вернулся домой*@* лежа в кровати он подумал как же хорошо что он встретил старушку*@* надо почаще выбираться из дому.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AL,2010-2011,Но только*@* {{когда}} он уже бегает по городе от страха смерти и на конец поподает случайно в Кремль*@* он верит*@* что он пропустил Петушки и поехал обратно в Москву.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,AL,2011-2012,По моему мнению*@* {{когда}} студентам нельзя говорить на родном языке на уроке*@* они будут пытаться объяснить сложные*@* абстрактные понятия.,когда,время,пг,мест,сущ,и,д,3мн,мест сущ,other
eng,FL,IM,2010-2011,{{Когда}} он говорит о встрече с женщиной в баре*@* он использует сначала я»*@* а потом ты» и вы».,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,AL,2011-2012,Там сидят Надия и Юлия*@* {{когда}} они не работают репетиерами с студентами или на занятиях.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,AL,2011-2012,Более того*@* хотя она редко говорит по- английский со мной*@* она очень самоуверенная*@* {{когда}} она помогает студентам с уроками английскими.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
eng,HL,IH,2011-2012,Ответьте на вопросы по тексту Когда автор {{говорит}}*@* что экзотичность американского ресторана липовая он имел введу*@* что американские рестораны берут идеи с других стран и культур и используют их в своих ресторанах.,когда,время,п_г,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,IH,2011-2012,Типичный американец любит быть главным*@* {{когда}} заказывает пищу*@* он любит экзотичность*@* он любопытный*@* он хочет*@* что пища была приготовлена так как он захочет*@* ему нравится уют*@* и он хочет в ресторане чувствовать себя*@* как дома.,когда,время,пг,мест,null,и,null,3мн,мест null,null
eng,HL,AL,2010-2011,В 1992 г.*@* {{когда}} ей было всего лишь 12 лет*@* Северн принела участие в Саммите Земля*@* проходившем в Рио-де-Жанейро.,когда,время,пг,сущ,мест,и,д,3мн,сущ мест,other
eng,FL,IH,2010-2011,Слова из французкого и неменцского языков*@* которые русские солдаты узнали и принесли в Россию*@* {{когда}} они вернулись из войны.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,HL,IH,2009-2010,В детстве*@* {{когда}} он ещё ходил в школу*@* он очень любил кино*@* особено фильмы Чарли Чаплина.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,AL,2010-2011,Автор четвёртого текста даже использует слово эксплуатация»*@* {{когда}} он говорит об отрицательных последствиях*@* связанны с бизнес- отношенями между странами*@* как говорится*@* «третьего мира» и западными странами.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IH,2011,И что думает человек*@* {{когда}} он слышит имя Эндрю Винер?,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IH,2009-2010,Поликлиник – первое место*@* куда ходят люди*@* {{когда}} они хотят говорит с врачём.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AM,2011,{{Когда}} он с пером в руках*@* он противник рабства*@* но в жизни в быту он другой.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,AL,2011,Во-первых*@* миллионы американцев живут в унизительной бедности*@* и {{когда}} человек потеряет свой дом*@* не может купить еду и не может накормить свою семью*@* он начинает думать о насильственной краже*@* чтобы у него было достаточно денег на выживание.,когда,время,пг,null,сущ,null,и,3ед,null сущ,null
eng,FL,AL,2011,{{Когда}} американец чувствует агрессию*@* и у него есть немедленный доступ к ружью*@* он более склонен применить серьёзное насилие*@* {{когда}} возникает какое-то разногласие между ним и другим гражданином.,когда,время,п_г,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AM,2012-2013,Поэтому {{когда}} солдат борется за свою возлюбленную*@* он тоже борется за свою Родину.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,IH,2012-2013,По моему*@* социолекты очень полезные*@* {{когда}} использованы в соответствующей среде.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
eng,HL,IH,2012-2013,Социолект имеет нужную функцию*@* {{когда}} он выражается в подходящей ситуации.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AH,2012-2013,Тем не менее*@* и русские*@* и американцы*@* обращают особое внимание на здоровье*@* здоровый образ жизни*@* особенно в тех случаях*@* {{когда}} уже страдают от какой-либо болезни.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
eng,HL,IM,2008,Когда человек {{погружает}} себя в новое место*@* он испытывает много новых изменений в своём понимании мира у окружающих его.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,IM,2008,{{Когда}} человек общается с новыми людьми в новом месте он обнаруживает что люди очень разные от места до места.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,HL,IH,2009-2010,{{Когда}} общество объединяется*@* оно становится сильным и имеет возможность совершать большие изменения и достигать всего.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IM,2009-2010,Мне очевидно*@* что режиссёр этих роликов хотел показать зрителям*@* что Перестройка была хорошое событие в истории России*@* и что Горбачёв был полно прав*@* {{когда}} он начинал Перестройку.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IH,2012-2013,И я полагаю*@* что в более абстрактном смысле люди давно начали этот процесс {{когда}} собирались на плешках*@* {{когда}} своим поведением люди претендовали на территорию*@* на которой находятся культурные и исторические памитники.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
eng,FL,AL,2012-2013,Ведь любой самолюбивый*@* высокомерный человек может произносить эти фразы*@* особенно {{когда}} он в хорошем настроении.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,AL,2011-2012,{{Когда}} мигранты работают нелегально*@* они получат деньги из экономики страны*@* но обычно они посылают заплаты семье в другой экономике.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,AL,2011-2012,Животное не может понять Бога*@* но оно всё ещё нравственно действует*@* {{когда}} оно инстинктивно заботится о своей семье.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
eng,HL,AM,2009-2010,{{Когда}} он работает*@* то показывает вращение нашей планеты*@* Земли*@* вокруг своей оси.,когда,время,пг,null,мест,null,и,3ед,null мест,null
eng,FL,AL,2012-2013,{{Когда}} люди изучают праязык*@* им становится легче изучать те языки*@* которые произошли от него.,когда,время,пг,мест,сущ,д,и,3мн,мест сущ,other
eng,FL,IM,2010-2011,{{Когда}} они были на поход и принимали европейские идеи*@* они изменили.,когда,время,пг,мест,мест,и,и,3мн,мест мест,other
eng,FL,AL,2011-2012,{{Когда}} он обратился к аудитории*@* он сказал дамы и господа».,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IH,2012-2013,Как написать такой совет*@* чтобы он работал» для детей? Иногда {{когда}} люди чистят зубы*@* они позволяют воду бежать из крана.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,AL,2012-2013,Вода в облаках потом становится больше и больше до того*@* {{когда}} она больше не может держаться в атмосфере.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,AL,2012-2013,Подземная вода также важна для людей*@* потому что*@* {{когда}} она спускается через почву и грунт*@* она очищается от вредных веществ.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,HL,IH,2009-2010,{{Когда}} общество объединяется*@* оно становится сильным и имеет возможность совершать большие изменения и достигать всего.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IM,2011-2012,Один человек может быть эмигрантом {{когда}} он уехал из своей страны*@* и потом быть иммигрантом {{когда}} он приехал в другую страну.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,AL,2010-2011,{{Когда}} человек выезжает из своей родной страны*@* он эмигрирует и называется эмигрантом в своей стране.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AL,2010-2011,Однако он ничего не знает о современном русском обществе*@* и точно чувствует себя неудобным*@* {{когда}} пересекает границу и встречается с диким народом России.,когда,время,гп,null,null,null,null,3ед,null null,null
eng,FL,AL,2011-2012,{{Когда}} он обратился к аудитории*@* он сказал дамы и господа».,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,HL,IM,2008,{{Когда}} он стал рассматривать Марию Целесту» в подзорную трубу он не увидел ни одного человека на борту.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,2010-2011,{{Когда}} она читала о Иисусе*@* она нашла на себе силы*@* и во время воскресения*@* она провозгласила в исступлении.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,2010-2011,Но {{когда}} она продолжает читать*@* тогда она хочет*@* чтобы он уверал как евреи в истории: «он тоже сейчас услышит*@* он тоже уверует».,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IH,2011-2012,Большинство американцев*@* {{когда}} они думают о народном блюде Америки*@* не думают о дешёвой*@* невкусной едой из Макдональдса*@* а о завтраке на маленьком ферме.,когда,время,гпг,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IH,2012-2013,Данные показывают*@* что {{когда}} придётся человеку заплатить за воду*@* которую он использует*@* он более ответственно употребляет.,когда,время,п_г,мест,сущ,и,д,3ед,мест сущ,other
eng,HL,IH,2012-2013,{{Когда}} человек достиг свою цель*@* он может себя считать успешным.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AL,2012-2013,И {{когда}} учители работают с 20-30 школьниками*@* они просто не могут обратить на каждого из них такого внимания*@* которого он достоин.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,HL,AL,2010-2011,Автор предполагает*@* что иностранные слова входят в словарь русского человека*@* {{когда}} они имеют склонность быть похожими на русский язык.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,HL,AL,2010-2011,Имеется в виду*@* что {{когда}} иностранное слово имеет привычные звуки*@* тогда оно быстрее адаптируется в речь человека.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AL,2012-2013,И наборот*@* экономические развитии влияют те специальности*@* которые студенты выбирают {{когда}} планируют для будущего.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
eng,FL,IH,2010-2011,{{Когда}} вода станет теплее*@* она переходит из жидкости то есть из того*@* что мы можем пить) в газ*@* который нам иногда невидимый.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IH,2010-2011,Поэтому вода станет пресной {{когда}} она поднимается вверх.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,AL,2011,Но {{когда}} человек слушает Хендрикса*@* он понимает*@* что он не слушает человека.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AL,2010-2011,Надо сказать*@* что мне нравятся такие рассказы даже*@* {{когда}} они не дают мне спать.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IH,2010-2011,Чаще всего*@* {{когда}} люди сталкиваются с насилием*@* они реагируют с насилием.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IH,2010-2011,{{Когда}} Индия получила независимость в 1947*@* она была разделена с преобладанием Пакистана.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AL,2011-2012,{{Когда}} Эйнштейн открыл теорию относительности*@* ему надо было получить одобрение своих коллег.,когда,время,пг,мест,сущ,д,и,3ед,мест сущ,other
eng,FL,AL,2012-2013,Они не имеют значение до того*@* {{когда}} они комбинируются с другими буквами*@* чтобы оформить слова.,когда,время,гп,мест,мест,и,и,3мн,мест мест,other
eng,FL,AM,2012,Что касается дистанционного образования — на мой взгляд*@* оно эффективное только {{когда}} оно является частью университетского образования*@* и не единственным методом обучения.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,2010-2011,{{Когда}} он вернулся*@* он был арестован*@* потому что обвинили его в шпионаже.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,2010-2011,{{Когда}} они были на поход и принимали европейские идеи*@* они изменили.,когда,время,пг,мест,мест,и,и,3мн,мест мест,other
eng,FL,AM,2012-2013,Какие коннотации имеют слова и аббревиатуры*@* написанные латинскими буквами*@* {{когда}} они включаются в название какой-либо профессии?,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,AL,2011-2012,Это Маяковский утверждал в своём предсмертном письме*@* {{когда}} он просил Товарища правительство» «устроить сносную жизнь» его семье.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,AL,2011-2012,{{Когда}} он писал стихи*@* он*@* как все поэты*@* выбирал свои слова внимательно и осторожно*@* поэтому можно ожидать*@* что он выбирал свои слова в своём последнем письме так же внимательно и осторожно.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,2008-2009,В сущности*@* проблема состоят в том*@* что люди не думают о будущем*@* {{когда}} удобно живут.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
eng,HL,AL,2010-2011,Вячеслав Бутусов стучится не в ту квартиру*@* и {{когда}} Данила видит своего кумира*@* он принимает решение спасти людей на день рождении на этаже выше*@* и убить бандитов вместо Степана.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AM,2012-2013,И работник умён*@* {{когда}} он не говорит работодателю о своей цели.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,AM,2012-2013,Любой нормальный ребёнок или взрослый из любой культуры чувствует вину*@* {{когда}} он наносит кому- то вред.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,IM,2010-2011,Кроме того есть возможно*@* что раньше*@* {{когда}} Данила думал*@* что он действует морально*@* на самом деле он был неправ.,когда,время,п_г,мест,сущ,и,и,3ед,мест сущ,other
